--------------------------------------------------------------------------------
    0 	 1 	 4 	 [1, 1, 1, 1] 	 [ 0.40065266 -0.8938601 ] 	 {1: 4}
    1 	 0 	 4 	 [0, 0, 0, 0] 	 [-0.37845517 -1.77576083] 	 {0: 4}
    2 	 0 	 4 	 [0, 0, 0, 0] 	 [-1.70526295 -0.38289994] 	 {0: 4}
    3 	 1 	 4 	 [1, 1, 1, 1] 	 [-0.6141255   0.20126177] 	 {1: 4}
    4 	 0 	 4 	 [0, 0, 0, 0] 	 [-1.89472747 -0.88738743] 	 {0: 4}
    5 	 0 	 4 	 [0, 0, 0, 0] 	 [ 1.29529903  1.0143023 ] 	 {0: 4}
    6 	 0 	 4 	 [0, 0, 0, 0] 	 [ 0.3497909   1.95413098] 	 {0: 4}
    7 	 0 	 4 	 [0, 0, 0, 0] 	 [-1.75940694  1.1526715 ] 	 {0: 4}
    8 	 1 	 3 	 [1, 1, 0, 1] 	 [ 1.07731675  0.7298082 ] 	 {0: 1, 1: 3}
    9 	 1 	 4 	 [1, 1, 1, 1] 	 [ 0.95268858 -0.46841047] 	 {1: 4}
   10 	 1 	 4 	 [1, 1, 1, 1] 	 [-0.67098028  0.33354768] 	 {1: 4}
   11 	 0 	 3 	 [0, 0, 0, 1] 	 [ 0.50178737 -1.18617963] 	 {0: 3, 1: 1}
   12 	 0 	 4 	 [0, 0, 0, 0] 	 [ 1.3611519   1.34263039] 	 {0: 4}
   13 	 1 	 4 	 [1, 1, 1, 1] 	 [ 0.52455509  0.56743245] 	 {1: 4}
   14 	 0 	 4 	 [0, 0, 0, 0] 	 [-1.50973019 -0.46014341] 	 {0: 4}
   15 	 0 	 4 	 [0, 0, 0, 0] 	 [-1.58483243 -0.81435363] 	 {0: 4}
   16 	 0 	 4 	 [0, 0, 0, 0] 	 [-0.68246322 -1.5019304 ] 	 {0: 4}
   17 	 1 	 4 	 [1, 1, 1, 1] 	 [ 0.29686113 -0.71961534] 	 {1: 4}
   18 	 1 	 4 	 [1, 1, 1, 1] 	 [ 0.13348811 -0.08751363] 	 {1: 4}
   19 	 1 	 4 	 [1, 1, 1, 1] 	 [-0.18156603 -0.76718695] 	 {1: 4}
   20 	 0 	 4 	 [0, 0, 0, 0] 	 [ 0.88491783 -1.14933755] 	 {0: 4}
   21 	 1 	 4 	 [1, 1, 1, 1] 	 [-0.02157489 -0.92463723] 	 {1: 4}
   22 	 0 	 3 	 [0, 0, 0, 1] 	 [ 1.04172892 -0.68668778] 	 {0: 3, 1: 1}
   23 	 1 	 4 	 [1, 1, 1, 1] 	 [-1.10490131 -0.04047579] 	 {1: 4}
   24 	 1 	 4 	 [1, 1, 1, 1] 	 [-0.43698955 -0.63645659] 	 {1: 4}
   25 	 1 	 4 	 [1, 1, 1, 1] 	 [-0.67497522  0.01153994] 	 {1: 4}
   26 	 0 	 3 	 [0, 0, 0, 1] 	 [ 0.66550211 -1.06297125] 	 {0: 3, 1: 1}
   27 	 0 	 4 	 [0, 0, 0, 0] 	 [ 2.39419053 -0.05289111] 	 {0: 4}
   28 	 1 	 4 	 [1, 1, 1, 1] 	 [-0.50686682 -1.13669718] 	 {1: 4}
   29 	 0 	 4 	 [0, 0, 0, 0] 	 [-1.80728196 -0.60248849] 	 {0: 4}
   30 	 0 	 4 	 [0, 0, 0, 0] 	 [-0.57757671 -1.38233135] 	 {0: 4}
   31 	 1 	 4 	 [1, 1, 1, 1] 	 [-0.1788562  -0.56397644] 	 {1: 4}
   32 	 0 	 3 	 [1, 0, 0, 0] 	 [-1.26582355 -0.33939084] 	 {0: 3, 1: 1}
   33 	 0 	 4 	 [0, 0, 0, 0] 	 [-0.56085248 -1.9593395 ] 	 {0: 4}
