--------------------------------------------------------------------------------
    0 	 0 	 4 	 [0, 0, 0, 0] 	 [-0.49484206  1.58629111] 	 {0: 4}
    1 	 0 	 4 	 [0, 0, 0, 0] 	 [-0.02213607  0.24348108] 	 {0: 4}
    2 	 1 	 2 	 [1, 1, 0, 0] 	 [-0.3154081   0.20773485] 	 {0: 2, 1: 2}
    3 	 0 	 4 	 [0, 0, 0, 0] 	 [-0.45787088  1.53429057] 	 {0: 4}
    4 	 0 	 4 	 [0, 0, 0, 0] 	 [ 0.83998953  0.65659524] 	 {0: 4}
    5 	 1 	 4 	 [1, 1, 1, 1] 	 [-0.1454264  -0.21479835] 	 {1: 4}
    6 	 0 	 4 	 [0, 0, 0, 0] 	 [-0.54621854  1.16094783] 	 {0: 4}
    7 	 1 	 3 	 [1, 1, 1, 0] 	 [ 0.05065833 -0.44698409] 	 {0: 1, 1: 3}
    8 	 0 	 4 	 [0, 0, 0, 0] 	 [-0.62918888  0.65308322] 	 {0: 4}
    9 	 1 	 4 	 [1, 1, 1, 1] 	 [ 1.50863253 -0.09880129] 	 {1: 4}
   10 	 0 	 4 	 [0, 0, 0, 0] 	 [-0.70790752  0.49730837] 	 {0: 4}
   11 	 1 	 4 	 [1, 1, 1, 1] 	 [ 0.65576008 -0.95226992] 	 {1: 4}
   12 	 0 	 4 	 [0, 0, 0, 0] 	 [-2.1646821  -0.26620688] 	 {0: 4}
   13 	 0 	 4 	 [0, 0, 0, 0] 	 [-0.49955227  1.4302004 ] 	 {0: 4}
   14 	 0 	 4 	 [0, 0, 0, 0] 	 [ 0.83446829  1.23568277] 	 {0: 4}
   15 	 1 	 4 	 [1, 1, 1, 1] 	 [-0.30337095 -1.29537217] 	 {1: 4}
   16 	 1 	 4 	 [1, 1, 1, 1] 	 [ 1.95293789 -0.0572683 ] 	 {1: 4}
   17 	 0 	 4 	 [0, 0, 0, 0] 	 [-2.03214835 -0.24821939] 	 {0: 4}
   18 	 1 	 2 	 [0, 0, 1, 1] 	 [ 0.18837918 -0.03956871] 	 {0: 2, 1: 2}
   19 	 0 	 4 	 [0, 0, 0, 0] 	 [-1.22187916  1.28253088] 	 {0: 4}
